policy_n,kind,cal_day,value
1,nlp,-30,0.2199153688917587
1,nlp,-29,0.441652762061214
1,nlp,-28,0.7094804046740998
1,nlp,-27,0.9383233830732464
1,nlp,-26,0.9383233830732464
1,nlp,-25,1.2661995589799375
1,nlp,-24,1.3684825321125076
1,nlp,-23,1.87839204191331
1,nlp,-22,2.2259747131362486
1,nlp,-21,2.2259747131362486
1,nlp,-20,2.608833816612499
1,nlp,-19,2.8609609688468467
1,nlp,-18,3.227311128104464
1,nlp,-17,3.227311128104464
1,nlp,-16,3.227311128104464
1,nlp,-15,3.5516239602117388
1,nlp,-14,4.1327003656466905
1,nlp,-13,4.583828090810984
1,nlp,-12,4.946297696243975
1,nlp,-11,4.946297696243975
1,nlp,-10,5.407222024099908
1,nlp,-9,5.907815435470722
1,nlp,-8,6.390801923416614
1,nlp,-7,6.796177679467832
1,nlp,-6,6.796177679467832
1,nlp,-5,7.365570044072671
1,nlp,-4,7.739733658018792
1,nlp,-3,8.309506370779179
1,nlp,-2,8.78698133529677
1,nlp,-1,8.78698133529677
1,nlp,0,9.344608584242588
1,nlp,1,9.885115515962577
1,nlp,2,10.415698551515934
1,nlp,3,10.885896031186256
1,nlp,4,10.885896031186256
1,nlp,5,11.16448822142883
1,nlp,6,11.619131992702824
1,nlp,7,11.999924859025528
1,nlp,8,12.469946903575613
1,nlp,9,12.469946903575613
1,nlp,10,12.870149324626324
1,nlp,11,13.333127068519977
1,nlp,12,13.96522129236308
1,nlp,13,14.457966427472291
1,nlp,14,14.457966427472291
1,nlp,15,14.974899145870303
1,nlp,16,15.514386525314524
1,nlp,17,15.925862943627772
1,nlp,18,16.464109036026343
1,nlp,19,16.464109036026343
1,nlp,20,16.888094051684504
1,nlp,21,17.25768537501074
1,nlp,22,17.853248174917002
1,nlp,23,18.44253142739945
1,nlp,24,18.44253142739945
1,nlp,25,18.50845903065535
1,nlp,26,18.79710686847409
1,nlp,27,19.149769615423505
1,nlp,28,19.60593043076563
1,nlp,29,19.60593043076563
1,nlp,30,19.60593043076563
1,car,-29,-0.0128978310528946
1,car,-28,-0.0132073871043872
1,car,-27,-0.0348900005560606
1,car,-26,-0.0581811697960149
1,car,-25,-0.0537047678825869
1,car,-22,-0.0102768281344877
1,car,-21,0.006832549542083
1,car,-20,-0.0206986469585526
1,car,-19,-0.034274160256624
1,car,-18,-0.0373257199762705
1,car,-15,-0.022053554109204
1,car,-14,-0.0454974953200396
1,car,-13,-0.054814754400176
1,car,-12,-0.0011733723971945
1,car,-11,0.0031293963517473
1,car,-8,-0.0234943383348617
1,car,-7,-0.0397205929478885
1,car,-6,-0.0362656718974553
1,car,-5,-0.0267167102486155
1,car,-4,-0.0274280027224585
1,car,-1,-0.0124054137069131
1,car,0,-0.0206506043145173
1,car,2,-0.0402737599702953
1,car,3,-0.032704515800408
1,car,7,-0.0425475096152791
1,car,8,-0.0326832501296995
1,car,9,-0.0178928443809329
1,car,10,-0.0275395591092412
1,car,13,-0.0297894852879983
1,car,14,-0.0045434789326579
1,car,15,0.0022965798401169
1,car,16,-0.0013216868791767
1,car,17,0.0223025625007804
1,car,20,0.0249373028376418
1,car,21,-0.0065881249001966
1,car,22,-0.0064908110609877
1,car,23,0.0020277006047233
1,car,24,0.0001175240883585
1,car,27,-0.0100465929275263
1,car,28,-0.0356519038201161
1,car,29,-0.0250116082659341
1,car,30,-0.0214708198738849
1,car,31,-0.0183209895920619
1,car,34,-0.0505018126266448
1,car,35,-0.084394364344194
1,car,36,-0.1027807788296793
1,car,38,-0.0861619037270838
1,car,41,-0.0863777192367439
1,car,42,-0.0854609815974638
1,car,43,-0.053664569347526
1,car,44,-0.0720791546515524
1,car,45,-0.0776562953599279
1,car,48,-0.0740061751606037
1,car,49,-0.0869990223202803
1,car,50,-0.0618038914172417
1,car,51,-0.0392475881093455
1,car,52,-0.0111680438478556
1,car,55,-0.0188292880525403
1,car,56,-0.0343022758858389
1,car,57,-0.0290148286023506
1,car,58,-0.0538077506043344
1,car,59,-0.0736428194197816
1,car,62,-0.0853958336558861
1,car,63,-0.0962094943399886
1,car,64,-0.080196059059461
1,car,65,-0.1104722066256076
1,car,66,-0.1007859209402604
1,car,69,-0.0442060299585074
1,car,70,-0.0509440559994458
1,car,71,-0.0465724758059641
1,car,72,-0.0597079584038156
1,car,73,-0.0558432053388421
1,car,76,-0.0622121584900358
1,car,77,-0.0766406963565082
1,car,78,-0.0577228944345151
1,car,79,-0.0230129230147728
1,car,80,-0.0554686312095593
1,car,83,-0.0815983788339534
1,car,84,-0.0989253097730619
1,car,85,-0.1278831688750799
1,car,86,-0.1657181915164829
1,car,87,-0.2132202931909705
1,car,90,-0.1947501741889481
2,nlp,-30,0.0
2,nlp,-29,-0.2738754530143784
2,nlp,-28,-0.5837281900876945
2,nlp,-27,-0.6672015159483126
2,nlp,-26,-0.8417624451471653
2,nlp,-25,-1.0205226035788864
2,nlp,-24,-1.1275822734883916
2,nlp,-23,-1.2626105850754323
2,nlp,-22,-1.5543102816873138
2,nlp,-21,-1.8467697556587692
2,nlp,-20,-2.1043264489909346
2,nlp,-19,-2.328671335167614
2,nlp,-18,-2.5715926916539384
2,nlp,-17,-2.791618439588187
2,nlp,-16,-2.8043481924666995
2,nlp,-15,-2.997035748337644
2,nlp,-14,-3.1135188021399087
2,nlp,-13,-3.1987839623096326
2,nlp,-12,-3.4364876211950626
2,nlp,-11,-3.368136961604739
2,nlp,-10,-3.4615082360084424
2,nlp,-9,-3.382307805938255
2,nlp,-8,-3.541571807470461
2,nlp,-7,-3.7151863346160976
2,nlp,-6,-3.9438016678073953
2,nlp,-5,-4.107734394198119
2,nlp,-4,-4.347182731437087
2,nlp,-3,-4.512182118030555
2,nlp,-2,-4.74376939697163
2,nlp,-1,-4.840503403855946
2,nlp,0,-4.795600316394741
2,nlp,1,-4.905150513696535
2,nlp,2,-5.070878155857257
2,nlp,3,-5.037944147539537
2,nlp,4,-5.164881625735211
2,nlp,5,-5.164881625735211
2,nlp,6,-5.146231140791312
2,nlp,7,-5.189620184040136
2,nlp,8,-5.131206493550072
2,nlp,9,-5.149632966321489
2,nlp,10,-5.188641563688623
2,nlp,11,-5.096333859934533
2,nlp,12,-5.096333859934533
2,nlp,13,-5.242174724820988
2,nlp,14,-5.210593464926621
2,nlp,15,-5.182110034192782
2,nlp,16,-5.274611306354232
2,nlp,17,-5.058373187003284
2,nlp,18,-5.125118444737677
2,nlp,19,-4.923898058640429
2,nlp,20,-4.935742706718648
2,nlp,21,-4.786196097865797
2,nlp,22,-4.775036085987276
2,nlp,23,-4.7264496949750825
2,nlp,24,-4.557624553463556
2,nlp,25,-4.526790420868146
2,nlp,26,-4.569534272090634
2,nlp,27,-4.509890448749187
2,nlp,28,-4.594034062914967
2,nlp,29,-4.594323843688678
2,nlp,30,-4.594323843688678
2,car,-28,0.0219938500608835
2,car,-27,0.0302102269813423
2,car,-26,0.0145526161495143
2,car,-25,-0.0057290030841229
2,car,-24,0.0164618840782558
2,car,-21,0.0172798707860153
2,car,-20,-0.0047872914519224
2,car,-19,-0.0021421168652639
2,car,-18,0.0449683577091947
2,car,-17,0.0120259039590343
2,car,-14,-0.0182198278295739
2,car,-13,-0.066147847731243
2,car,-12,-0.1174150309520573
2,car,-11,-0.1899677842968812
2,car,-10,-0.2488669153916373
2,car,-7,-0.174242344711571
2,car,-6,-0.1388774466504897
2,car,-5,-0.1414698995344769
2,car,-4,-0.1008567098634717
2,car,-3,-0.077903310409114
2,car,0,-0.0870472774446689
2,car,1,-0.1757089472428707
2,car,2,-0.1919208694226035
2,car,3,-0.1557924545293689
2,car,4,-0.1659250668859268
2,car,7,-0.1765246215188152
2,car,8,-0.1595201179905428
2,car,9,-0.1243487409659835
2,car,11,-0.1145541073516599
2,car,14,-0.1158584461733788
2,car,15,-0.1247012974767639
2,car,16,-0.1419609875150521
2,car,17,-0.1900125276590997
2,car,18,-0.2230958444392563
2,car,21,-0.1921394473979683
2,car,22,-0.2082878971036207
2,car,23,-0.2182408124741605
2,car,24,-0.2506767278388323
2,car,25,-0.263592452135155
2,car,28,-0.2345111156516737
2,car,29,-0.2435343595889661
2,car,30,-0.2560879431569068
2,car,31,-0.24323444497526
2,car,32,-0.2744945569367197
2,car,35,-0.3530288633431732
2,car,36,-0.4856649206243268
2,car,37,-0.4116242419643554
2,car,42,-0.4415251946269116
2,car,43,-0.3922772914113881
2,car,44,-0.3869307800886485
2,car,45,-0.4364254654323433
2,car,46,-0.4786976917600424
2,car,49,-0.43976277142719
2,car,50,-0.4126404580221909
2,car,51,-0.3701858692105482
2,car,52,-0.3726293940245648
2,car,53,-0.3564535455887078
2,car,56,-0.3152902495731885
2,car,57,-0.317289302134763
2,car,58,-0.2795539072217442
2,car,60,-0.2916270821900396
2,car,63,-0.2644350229207626
2,car,64,-0.3119917488827318
2,car,66,-0.2749072554718884
2,car,67,-0.2353247359490882
2,car,70,-0.2342341349473286
2,car,71,-0.1905534961865706
2,car,72,-0.1742663213473729
2,car,73,-0.1731554115573459
2,car,74,-0.1871700743167824
2,car,77,-0.1748566296139606
2,car,78,-0.1895749001230147
2,car,79,-0.1920052810134693
2,car,80,-0.1617306457228277
2,car,81,-0.1460185531992328
2,car,84,-0.1595966770732978
2,car,85,-0.1580208958383734
2,car,86,-0.1844986726322922
2,car,87,-0.1612408447932098
2,car,88,-0.1374367903175005
3,nlp,-30,0.0
3,nlp,-29,0.0
3,nlp,-28,0.0
3,nlp,-27,0.0
3,nlp,-26,0.0
3,nlp,-25,0.0
3,nlp,-24,-0.1261153245353793
3,nlp,-23,-0.1261153245353793
3,nlp,-22,-0.1261153245353793
3,nlp,-21,-0.1261153245353793
3,nlp,-20,-0.1261153245353793
3,nlp,-19,-0.1261153245353793
3,nlp,-18,-0.1261153245353793
3,nlp,-17,-0.1261153245353793
3,nlp,-16,-0.1261153245353793
3,nlp,-15,-0.1261153245353793
3,nlp,-14,-0.1261153245353793
3,nlp,-13,-0.1261153245353793
3,nlp,-12,-0.1261153245353793
3,nlp,-11,-0.1261153245353793
3,nlp,-10,-0.1261153245353793
3,nlp,-9,-0.1261153245353793
3,nlp,-8,-0.1261153245353793
3,nlp,-7,-0.1261153245353793
3,nlp,-6,-0.1261153245353793
3,nlp,-5,-0.1261153245353793
3,nlp,-4,-0.1261153245353793
3,nlp,-3,-0.1261153245353793
3,nlp,-2,-0.1261153245353793
3,nlp,-1,-0.7680068988523497
3,nlp,0,-1.337877623862461
3,nlp,1,-1.9114346617784008
3,nlp,2,-2.401065810703596
3,nlp,3,-2.9021448238453704
3,nlp,4,-3.4108208485102747
3,nlp,5,-3.9306331853793743
3,nlp,6,-4.41916661808019
3,nlp,7,-4.922739489329029
